stop_id,stop_code,stop_name,stop_lat,stop_lon
2295,11204,"Wielka",51.0937447000,17.0207507700
2296,25003,"KRAKOWSKA (Centrum handlowe)",51.0900349300,17.0646568700
2297,25004,"KRAKOWSKA (Centrum handlowe)",51.0899701900,17.0648925200
2298,16719,"ROD Bielany",51.0552190800,16.9775086500
2299,16718,"ROD Bielany",51.0553851700,16.9776400000
2300,26111,"ROD Zgoda",51.0660581400,17.0599531500
2301,26112,"ROD Zgoda",51.0662839500,17.0592868000
2302,29528,"ROD Źródło Zdrowia",51.1506856400,17.1085794000
2303,29529,"ROD Źródło Zdrowia",51.1511971500,17.1077045100
2304,29502,"Zakrzowska",51.1516515900,17.1156409200
2305,29503,"Wallenroda",51.1561601200,17.1204658300
2306,26115,"ROD Mieczyk",51.0638894900,17.0724922200
2307,26116,"ROD Mieczyk",51.0641251200,17.0692762000
2310,125003,"KRAKOWSKA (Centrum handlowe)",51.0891053100,17.0659851700
2312,396209,"Zaprężyn - skrzyżowanie",51.2480600900,17.2086939900
2313,396210,"Zaprężyn - skrzyżowanie",51.2483400900,17.2089890000
2314,396213,"Kępa - Skrzyżowanie",51.2411201000,17.1962049900
2315,396212,"Kępa - Skrzyżowanie",51.2411201300,17.1960199900
2316,396214,"Tokary - osiedle",51.2377900900,17.1288709900
2317,396215,"Tokary - osiedle",51.2378800900,17.1282340000
2318,396217,"Godzieszowa - stajnia",51.2438701100,17.1111169900
2319,396216,"Godzieszowa - stajnia",51.2441901200,17.1114889900
2329,21139,"GAJ - pętla",51.0771230900,17.0495971700
2330,21138,"GAJ - pętla",51.0767818400,17.0509904200
2331,21140,"GAJ - pętla",51.0767824000,17.0505479400
2341,16717,"WAŁBRZYSKA",51.0632300400,16.9767633900
2342,16705,"WAŁBRZYSKA",51.0648963600,16.9761323900
2348,10008,"ŚWIDNICKA (Dom Europy)",51.1068121200,17.0334133800
2355,12601,"Kolista",51.1330014600,16.9728653000
2356,12602,"Kolista",51.1329353800,16.9727068400
2357,12604,"PILCZYCKA (Anima)",51.1350960200,16.9691335300
2358,12603,"PILCZYCKA (Anima)",51.1351552600,16.9692437400
2359,12606,"Modra",51.1366740600,16.9666521900
2360,12605,"Modra",51.1368106600,16.9666722700
2361,12611,"Górnicza",51.1401983600,16.9594507900
2362,12612,"Górnicza",51.1399883700,16.9597107400
2369,21027,"Morwowa",51.0768883600,17.0506457900
2371,21142,"Borowska",51.0880667700,17.0364739000
2372,21141,"Borowska",51.0879368200,17.0360526600
2373,21103,"Borowska",51.0893095800,17.0338960000
2374,21104,"Borowska",51.0892957400,17.0341406700
2474,991925,"Wilkszyn",51.1917357800,16.8628483500
2475,17723,"JARNOŁTÓW",51.1214176400,16.8439344000
2477,18359,"Las Mokrzański",51.1761281300,16.8334336100
2478,12736,"KOZANÓW",51.1374778700,16.9687557600
2479,12717,"KOZANÓW",51.1378201300,16.9679529700
2482,18705,"Główna",51.1634006900,16.8958143900
2484,10527,"LITOMSKA (ZUS)",51.1199086500,17.0101373900
2488,29133,"Poleska",51.1460447200,17.1282584700
2489,20932,"Katedra",51.1133059000,17.0498472300
2490,12129,"Kołobrzeska",51.1219857100,16.9475415100
2492,17725,"Szkoła Żerniki",51.1214013500,16.9250679900
2493,4,"Zajezdnia BOREK",51.0782376500,17.0068459900
2496,2,"Zajezdnia OŁBIN",51.1238394100,17.0410439100
2497,1,"Zajezdnia GAJ",51.0892658800,17.0296803600
2505,29119,"PSIE POLE (Stacja kolejowa)",51.1505801000,17.1205503400
2506,29120,"PSIE POLE (Stacja kolejowa)",51.1496402100,17.1196140500
2507,23537,"Sułowska (Rondo)",51.1665236300,17.0273642600
2510,16527,"SKARBOWCÓW (Pętla)",51.0779953300,16.9983905500
2515,17513,"Rdestowa",51.1112747700,16.8880577300
2516,17512,"Rdestowa",51.1109372600,16.8907686000
2526,10543,"Robotnicza (Centrozłom)",51.1095676600,17.0082892300
2527,21131,"GAJ",51.0769005700,17.0419316500
2528,21132,"GAJ",51.0771565900,17.0397758700
2529,25311,"Arabska",51.0511576500,17.0923256000
2530,11545,"Racławicka (Gimnazjum nr 23)",51.0846813500,17.0069504700
2531,10531,"pl. Orląt Lwowskich",51.1076744900,17.0210016700
2533,10544,"Robotnicza (Centrozłom)",51.1091136500,17.0089554400
2534,18720,"Stabłowicka (Szkoła Podstawowa nr 22)",51.1705357000,16.9018207600
2535,25312,"Arabska",51.0514937000,17.0926688200
2536,25011,"Głubczycka",51.0801595500,17.0800100100
2537,25012,"Głubczycka",51.0800063400,17.0804495800
2538,25320,"Ziemniaczana",51.0530275200,17.0935232100
2539,25319,"Ziemniaczana",51.0532118800,17.0931592200
2540,21030,"GAJ",51.0771603500,17.0399816000
2542,24016,"KOWALE",51.1284171500,17.1021457800
2543,11242,"PARK POŁUDNIOWY",51.0726710900,17.0144784300
2544,12002,"Wrocławski Park Przemysłowy",51.1125054600,16.9934106100
2545,23011,"ZAWALNA",51.1342531700,17.0371479900
2548,24214,"SĘPOLNO",51.1142851200,17.1038941200
2549,21022,"TARNOGAJ",51.0785056000,17.0639519700
2550,18202,"LEŚNICA",51.1446593000,16.8724220600
2554,12712,"Kolista",51.1332341200,16.9740393900
2555,21036,"Uniwersytet Ekonomiczny",51.0894017200,17.0291905300
2568,18402,"STADION WROCŁAW (Królewiecka)",51.1435004200,16.9503300900
2569,18501,"STADION WROCŁAW (Królewiecka)",51.1450275900,16.9479168600
2570,18502,"STADION WROCŁAW (Królewiecka)",51.1440074700,16.9496930400
2571,18013,"Stadion Wrocław (Lotnicza)",51.1373814700,16.9403289800
2572,18014,"Stadion Wrocław (Lotnicza)",51.1371491800,16.9410612900
2576,17530,"PORT LOTNICZY",51.1088549800,16.8846821600
2579,12544,"Bystrzycka",51.1240088700,16.9590017800
2594,24103,"Grudziądzka",51.1379492700,17.0750620300
2617,12608,"Kozanowska",51.1389990200,16.9652739400
2618,12607,"Kozanowska",51.1390591400,16.9654023200
2637,20329,"Komuny Paryskiej",51.1015751000,17.0464211600
2638,20330,"Komuny Paryskiej",51.1023005900,17.0466553900
2639,20328,"Kościuszki",51.1002515500,17.0454552200
2640,20370,"Pułaskiego",51.0986714900,17.0439781800
2641,18526,"STADION WROCŁAW (Królewiecka)",51.1451620400,16.9491360000
2642,18112,"Stadion Wrocław (Lotnicza)",51.1381089700,16.9426408300
2643,18111,"Stadion Wrocław (Lotnicza)",51.1383796200,16.9425624700
2646,29116,"PSIE POLE (Stacja kolejowa)",51.1495443400,17.1189480200
2665,726952,"Wysoka",51.0460820200,17.0129740100
2666,726951,"Wysoka",51.0463100400,17.0121329900
2679,326208,"Węgrów",51.2649940200,17.2198099600
2680,326207,"Węgrów",51.2649016000,17.2194082800
2685,396207,"Węgrów",51.2628200900,17.2214829900
2686,396208,"Węgrów",51.2630600900,17.2216660000
2692,723963,"Bielany - Boczna",51.0373768200,16.9681605600
2693,723964,"Bielany - Boczna",51.0378031800,16.9685451600
2695,29320,"Inflancka",51.1423583500,17.1304153200
2696,29319,"Inflancka",51.1423978500,17.1297809700
2697,723976,"Bielany - Kwiatowa",51.0333900900,16.9665450000
2711,29322,"Szewczenki",51.1418492700,17.1231984300
2714,18383,"LEŚNICA",51.1448916300,16.8716380400
2715,18388,"LEŚNICA",51.1446737300,16.8715548200
2716,18386,"LEŚNICA",51.1447892900,16.8718135300
2717,18384,"LEŚNICA",51.1448620800,16.8719590700
2721,10505,"pl. Strzegomski (Muzeum Współczesne)",51.1132386800,17.0078862500
2722,17301,"Tyrmanda",51.1031001700,16.9455441500
2724,10506,"pl. Strzegomski (Muzeum Współczesne)",51.1127548400,17.0071732900
2725,17302,"Tyrmanda",51.1035229500,16.9462130400
2726,10405,"pl. Strzegomski (Muzeum Współczesne)",51.1131478500,17.0069625800
2727,10406,"pl. Strzegomski (Muzeum Współczesne)",51.1129278900,17.0077196800
2732,11366,"Pułtuska",51.0743182800,17.0150065600
2733,11378,"Pułtuska",51.0745575000,17.0164437100
2734,11377,"Pułtuska",51.0747735700,17.0161786500
2735,11239,"Pułtuska",51.0743019600,17.0159050400
2736,11240,"Pułtuska",51.0739374700,17.0157181600
2737,23315,"Góra Kapliczna",51.1512761800,16.9929207400
2738,23316,"Góra Kapliczna",51.1515126800,16.9929223200
2739,716718,"AUCHAN",51.0520648000,16.9740535400
2741,10051,"Park Staromiejski",51.1051252900,17.0368984800
2742,10052,"Park Staromiejski",51.1049990100,17.0371063000
2744,25134,"KSIĘŻE WIELKIE",51.0698331700,17.0975348800
2745,24718,"Wojnów",51.0971220300,17.1640454700
2746,24717,"Wojnów",51.0973272500,17.1634351900
2747,425900,"WOJNÓW (pętla)",51.0947136200,17.1663919400
2748,24136,"Olsztyńska",51.1393859700,17.0951032000
2756,326241,"Łozina - Wrocławska",51.2282442900,17.1762105900
2757,326242,"Łozina - Wrocławska",51.2286182900,17.1763092900
2758,326119,"ŁOZINA",51.2320908900,17.1762763200
2759,326120,"ŁOZINA",51.2321322300,17.1759146400
2760,326244,"Łozina - Milicka",51.2214964300,17.1806850600
2761,326243,"Łozina - Milicka",51.2316623600,17.1810684200
2762,326246,"Łozina - Ośrodek zdrowia",51.2327493900,17.1834558500
2763,326245,"Łozina - Ośrodek zdrowia",51.2328812400,17.1837405100
2771,29121,"Psie Pole (Gorlicka)",51.1458387600,17.1137168100
2772,20925,"PL. GRUNWALDZKI",51.1127135300,17.0650486000
2776,17516,"Graniczna (Strachowicka)",51.1108012000,16.8985760300
2777,17517,"Graniczna (Strachowicka)",51.1110179300,16.8982274700
2781,29926,"Kiełczowska (Cmentarz)",51.1453417900,17.1480205300
2782,29925,"Kiełczowska (Cmentarz)",51.1448648400,17.1494268600
2783,23109,"most Milenijny",51.1365115200,16.9992727300
2784,23110,"most Milenijny",51.1366686500,17.0004071000
2785,23202,"most Milenijny",51.1359163400,16.9984428200
2786,23201,"most Milenijny",51.1360049100,16.9983194200
2791,23170,"Kamieńskiego (Szpital)",51.1486829400,17.0429112300
2792,23169,"Kamieńskiego (Szpital)",51.1491042200,17.0432048100
2793,12151,"MUCHOBÓR MAŁY (Stacja kolejowa)",51.1125786600,16.9706042000
2796,29554,"PAWŁOWICE (Widawska)",51.1734159700,17.1164216700
2797,17729,"Żernicka (Stacja kolejowa)",51.1260832900,16.9142594700
2798,17730,"Żernicka (Stacja kolejowa)",51.1269802100,16.9138502600
2812,21109,"Uniwersytet Medyczny",51.0747253300,17.0325481300
2813,21110,"Uniwersytet Medyczny",51.0752569600,17.0330585000
2815,10365,"Arkady (Capitol)",51.1020902000,17.0294678100
2816,10366,"Arkady (Capitol)",51.1020390600,17.0298365300
2817,10233,"Arkady (Capitol)",51.1016523800,17.0292595400
2818,10234,"Arkady (Capitol)",51.1009390900,17.0289667400
2819,10270,"Arkady (Capitol)",51.1013912100,17.0286990600
2820,10269,"Arkady (Capitol)",51.1012407300,17.0297595300
